posts_reviewed,share_of_posts,share_of_misinformation_captured
1,0.002,0.0037313432835820895
2,0.004,0.007462686567164179
3,0.006,0.011194029850746268
4,0.008,0.014925373134328358
5,0.01,0.018656716417910446
6,0.012,0.022388059701492536
7,0.014,0.026119402985074626
8,0.016,0.029850746268656716
9,0.018,0.033582089552238806
10,0.02,0.03731343283582089
11,0.022,0.041044776119402986
12,0.024,0.04477611940298507
13,0.026,0.048507462686567165
14,0.028,0.05223880597014925
15,0.03,0.055970149253731345
16,0.032,0.05970149253731343
17,0.034,0.06343283582089553
18,0.036,0.06716417910447761
19,0.038,0.0708955223880597
20,0.04,0.07462686567164178
21,0.042,0.07835820895522388
22,0.044,0.08208955223880597
23,0.046,0.08582089552238806
24,0.048,0.08955223880597014
25,0.05,0.09328358208955224
26,0.052,0.09701492537313433
27,0.054,0.10074626865671642
28,0.056,0.1044776119402985
29,0.058,0.10820895522388059
30,0.06,0.11194029850746269
31,0.062,0.11567164179104478
32,0.064,0.11940298507462686
33,0.066,0.12313432835820895
34,0.068,0.12686567164179105
35,0.07,0.13059701492537312
36,0.072,0.13432835820895522
37,0.074,0.13805970149253732
38,0.076,0.1417910447761194
39,0.078,0.1455223880597015
40,0.08,0.14925373134328357
41,0.082,0.15298507462686567
42,0.084,0.15671641791044777
43,0.086,0.16044776119402984
44,0.088,0.16417910447761194
45,0.09,0.16791044776119404
46,0.092,0.17164179104477612
47,0.094,0.17537313432835822
48,0.096,0.1791044776119403
49,0.098,0.1828358208955224
50,0.1,0.1865671641791045
51,0.102,0.19029850746268656
52,0.104,0.19402985074626866
53,0.106,0.19776119402985073
54,0.108,0.20149253731343283
55,0.11,0.20522388059701493
56,0.112,0.208955223880597
57,0.114,0.2126865671641791
58,0.116,0.21641791044776118
59,0.118,0.22014925373134328
60,0.12,0.22388059701492538
61,0.122,0.22761194029850745
62,0.124,0.23134328358208955
63,0.126,0.23507462686567165
64,0.128,0.23880597014925373
65,0.13,0.24253731343283583
66,0.132,0.2462686567164179
67,0.134,0.25
68,0.136,0.2537313432835821
69,0.138,0.2574626865671642
70,0.14,0.26119402985074625
71,0.142,0.26492537313432835
72,0.144,0.26865671641791045
73,0.146,0.27238805970149255
74,0.148,0.27611940298507465
75,0.15,0.2798507462686567
76,0.152,0.2835820895522388
77,0.154,0.2873134328358209
78,0.156,0.291044776119403
79,0.158,0.2947761194029851
80,0.16,0.29850746268656714
81,0.162,0.30223880597014924
82,0.164,0.30597014925373134
83,0.166,0.30970149253731344
84,0.168,0.31343283582089554
85,0.17,0.31716417910447764
86,0.172,0.3208955223880597
87,0.174,0.3246268656716418
88,0.176,0.3283582089552239
89,0.178,0.332089552238806
90,0.18,0.3358208955223881
91,0.182,0.33955223880597013
92,0.184,0.34328358208955223
93,0.186,0.34701492537313433
94,0.188,0.35074626865671643
95,0.19,0.35447761194029853
96,0.192,0.3582089552238806
97,0.194,0.3619402985074627
98,0.196,0.3656716417910448
99,0.198,0.3694029850746269
